,county,auto.cbp,auto.cbp.pct,NiCu.Mine.cbp,NiCu.Mine.cbp.pct,CoMn.Mine.cbp,CoMn.Mine.cbp.pct,NiCuCo.Prod.cbp,NiCuCo.Prod.cbp.pct,Li.Prod.cbp,Li.Prod.cbp.pct,Graphite.Prod.cbp,Graphite.Prod.cbp.pct
164,6013,579.1038535,0.000486389,0,0,0,0,0,0,0,0,46,0.01005633
165,6015,0,0,0,0,0,0,0,0,0,0,0,0
166,6017,53.78965357,4.52E-05,0,0,0,0,0,0,0,0,0,0
167,6019,932.4465132,0.000783162,0,0,0,0,0,0,0,0,0,0
168,6021,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
169,6023,21.87781256,1.84E-05,0,0,0,0,0,0,0,0,0,0
170,6025,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
171,6027,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
172,6029,187.5251766,0.000157502,0,0,0,0,0,0,0,0,66.89646002,0.014624628
173,6031,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
174,6033,20.97293474,1.76E-05,0,0,0,0,0,0,0,0,10.93890628,0.002391418
175,6035,0,0,0,0,0,0,0,0,0,0,0,0
176,6037,18449.77427,0.015495968,0,0,0,0,0,0,0,0,20.97293474,0.004585016
177,6039,87.86939475,7.38E-05,0,0,0,0,0,0,0,0,0,0
178,6041,43.75562511,3.68E-05,0,0,0,0,0,0,0,0,0,0
179,6043,10.93890628,9.19E-06,0,0,0,0,0,0,0,0,0,0
180,6045,142.5639261,0.000119739,0,0,0,0,0,0,0,0,0,0
181,6047,32.81671884,2.76E-05,0,0,0,0,0,0,0,0,0,0
182,6049,0,0,0,0,0,0,0,0,0,0,0,0
183,6051,0,0,0,0,0,0,0,0,0,0,0,0
184,6053,223.7742726,0.000187948,0,0,0,0,0,0,0,0,0,0
185,6055,97.93890628,8.23E-05,0,0,0,0,0,0,0,0,0,0
186,6057,52.87781256,4.44E-05,0,0,0,0,0,0,0,0,0,0
187,6059,7225.62502,0.006068803,0,0,0,0,0,0,0,0,0,0
188,6061,107.911841,9.06E-05,0,0,0,0,0,0,0,0,0,0
189,6063,0,0,0,0,0,0,0,0,0,0,0,0
190,6065,5838.406256,0.004903678,0,0,0,0,0,0,0,0,20.97293474,0.004585016
