year,region,season,hour,pollutant,kg.per.mwh,usd.per.mwh.AP3,usd.per.mwh.EASIUR,usd.per.mwh.INMAP
2017,CAMX,Trans,17,so2,0.042820512,0.106975263,0.057920502,0.044030117
2017,CAMX,Trans,18,co2,469.6961432,23.37959523,23.37959523,23.37959523
2017,CAMX,Trans,18,nox,0.196997023,0.340991253,0.070005248,0.137610601
2017,CAMX,Trans,18,pm25,0.074395276,2.315566835,1.012237122,0.392206547
2017,CAMX,Trans,18,so2,0.046457626,0.115436488,0.062657187,0.047250225
2017,CAMX,Trans,19,co2,501.0237549,24.93895842,24.93895842,24.93895842
2017,CAMX,Trans,19,nox,0.242253523,0.721535639,0.130260016,0.169899094
2017,CAMX,Trans,19,pm25,0.074046124,2.721462624,0.966125596,0.398755117
2017,CAMX,Trans,19,so2,0.03914004,0.112281349,0.053529558,0.041044778
2017,CAMX,Trans,20,co2,482.1137082,23.99769194,23.99769194,23.99769194
2017,CAMX,Trans,20,nox,0.143152212,0.354750943,0.053756855,0.095964905
2017,CAMX,Trans,20,pm25,0.068695893,2.40861472,0.848389498,0.358297591
2017,CAMX,Trans,20,so2,0.049111075,0.119758542,0.065853036,0.049509464
2017,CAMX,Trans,21,co2,475.2756766,23.65732208,23.65732208,23.65732208
2017,CAMX,Trans,21,nox,0.050224183,0.351100917,0.052163162,0.032508851
2017,CAMX,Trans,21,pm25,0.070577806,3.028041555,1.039993802,0.429787911
2017,CAMX,Trans,21,so2,0.007053182,0.068277828,0.012363317,0.011079096
2017,CAMX,Trans,22,co2,512.5697071,25.51366974,25.51366974,25.51366974
2017,CAMX,Trans,22,nox,0.081061132,-0.028997707,0.006532239,0.056238486
2017,CAMX,Trans,22,pm25,0.071532397,3.05414249,1.059193971,0.444112007
2017,CAMX,Trans,22,so2,0.029694738,0.108101988,0.041528651,0.032991109
2017,CAMX,Trans,23,co2,523.5768267,26.06156012,26.06156012,26.06156012
2017,CAMX,Trans,23,nox,0.111729702,0.376117212,0.068614048,0.079403684
2017,CAMX,Trans,23,pm25,0.071627695,2.612191612,1.06698001,0.455822212
2017,CAMX,Trans,23,so2,0.014552566,0.082377029,0.022636965,0.018986584
2017,CAMX,Winter,0,co2,419.9654859,20.99022531,20.93964257,20.91668085
2017,CAMX,Winter,0,nox,0.123490421,0.267475783,0.055483733,0.087056708
2017,CAMX,Winter,0,pm25,35.31334725,2.084621784,0.758567351,0.333120688
2017,CAMX,Winter,0,so2,0.043550037,0.110698137,0.059003643,0.044843444
2017,CAMX,Winter,1,co2,388.3524217,19.33063014,19.33063014,19.33063014
2017,CAMX,Winter,1,nox,0.114814348,0.163960107,0.032848055,0.081844876
2017,CAMX,Winter,1,pm25,0.043001738,1.156404381,0.512163657,0.222734081
2017,CAMX,Winter,1,so2,0.030250449,0.075346205,0.041669937,0.03164623
2017,CAMX,Winter,2,co2,403.305015,20.07491043,20.07491043,20.07491043
2017,CAMX,Winter,2,nox,0.107593519,0.220350155,0.053583535,0.07462358
2017,CAMX,Winter,2,pm25,0.047014262,1.458999398,0.667011933,0.189565051
2017,CAMX,Winter,2,so2,0.036464425,0.084824041,0.049904925,0.036761964
2017,CAMX,Winter,3,co2,418.2351934,20.81807499,20.81807499,20.81807499
2017,CAMX,Winter,3,nox,0.185975306,0.227627204,0.064098224,0.131403136
2017,CAMX,Winter,3,pm25,0.050454923,1.193622231,0.500385206,0.218554901
2017,CAMX,Winter,3,so2,0.052085438,0.107444969,0.069276069,0.051672452
2017,CAMX,Winter,4,co2,406.100358,20.21405142,20.21405142,20.21405142
2017,CAMX,Winter,4,nox,0.134942382,0.288817092,0.058698813,0.094249388
2017,CAMX,Winter,4,pm25,0.046827456,1.5669112,0.567767476,0.207304289
2017,CAMX,Winter,4,so2,0.027306998,0.074159189,0.037849147,0.028683081
2017,CAMX,Winter,5,co2,414.3582317,20.62509534,20.62509534,20.62509534
2017,CAMX,Winter,5,nox,0.063243044,0.207258733,0.043215064,0.043862956
2017,CAMX,Winter,5,pm25,0.049689912,1.422800436,0.594894879,0.231068116
2017,CAMX,Winter,5,so2,0.019597686,0.060300004,0.028136151,0.021214133
2017,CAMX,Winter,6,co2,441.3140314,21.96684723,21.96684723,21.96684723
2017,CAMX,Winter,6,nox,0.139850822,0.372798529,0.112525161,0.099075069
2017,CAMX,Winter,6,pm25,0.045597581,1.425547884,0.592505338,0.249111627
2017,CAMX,Winter,6,so2,0.042300825,0.09801554,0.05734605,0.043264427
2017,CAMX,Winter,7,co2,424.8631194,21.14798663,21.14798663,21.14798663
2017,CAMX,Winter,7,nox,0.124091012,0.37671725,0.070779689,0.084705787
2017,CAMX,Winter,7,pm25,0.055328516,1.812180329,0.662093722,0.289331666
